nodes,taskspernode,threadspertask,cpufreq,slurm_job_id,cnt,tpe,tlb,tce,tse,tte,tmpe,tmlb,tmce,tmse,tmte,tope,tolb,toce,tose,tote,epe,elb,ece,ese,ete,empe,emlb,emce,emse,emte,eope,eolb,eoce,eose,eote,total_time
1,16,6,3000000,60736188,1,0.09,0.878,0.103,0.677,0.152,0.702,0.926,0.758,0.772,0.982,0.129,0.948,0.136,0.877,0.155,0.384,0.917,0.419,0.762,0.55,0.747,0.905,0.825,0.82,1.005,0.515,1.013,0.508,0.929,0.547,63.398
1,16,6,3500000,60736189,1,0.089,0.842,0.106,0.685,0.154,0.679,0.887,0.765,0.778,0.983,0.131,0.949,0.138,0.88,0.157,0.417,0.91,0.458,0.739,0.621,0.741,0.897,0.826,0.78,1.059,0.563,1.014,0.555,0.947,0.586,62.865
1,16,6,3800000,60736190,1,0.091,0.857,0.106,0.681,0.156,0.683,0.905,0.755,0.769,0.981,0.134,0.948,0.141,0.886,0.159,0.433,0.939,0.462,0.733,0.63,0.742,0.928,0.799,0.772,1.035,0.584,1.012,0.577,0.949,0.608,61.518
1,24,4,1000000,60736177,1,0.202,0.717,0.282,0.777,0.363,0.627,0.902,0.695,0.808,0.861,0.322,0.795,0.406,0.962,0.422,0.526,0.71,0.74,0.901,0.821,0.668,0.841,0.794,0.89,0.892,0.787,0.845,0.932,1.012,0.921,364.146
1,24,4,1500000,60736178,1,0.196,0.693,0.282,0.803,0.352,0.618,0.873,0.709,0.835,0.848,0.316,0.794,0.398,0.961,0.415,0.527,0.693,0.761,0.93,0.818,0.642,0.821,0.783,0.917,0.853,0.821,0.844,0.972,1.014,0.959,329.163
1,24,4,2000000,60736179,1,0.199,0.664,0.3,0.841,0.356,0.622,0.837,0.743,0.884,0.841,0.32,0.794,0.403,0.952,0.424,0.523,0.697,0.75,0.924,0.812,0.656,0.829,0.792,0.915,0.866,0.797,0.841,0.948,1.01,0.938,298.053
1,24,4,2500000,60736180,1,0.271,0.676,0.4,0.796,0.503,0.654,0.877,0.746,0.823,0.906,0.414,0.771,0.537,0.967,0.556,0.54,0.674,0.801,0.92,0.87,0.675,0.82,0.823,0.906,0.909,0.8,0.822,0.973,1.015,0.958,186.098
1,24,4,3000000,60736181,1,0.286,0.695,0.411,0.786,0.523,0.657,0.895,0.734,0.817,0.898,0.435,0.777,0.56,0.963,0.582,0.549,0.715,0.768,0.888,0.865,0.674,0.866,0.778,0.872,0.893,0.814,0.825,0.987,1.018,0.969,180.795
1,24,4,3500000,60736182,1,0.282,0.692,0.408,0.781,0.523,0.642,0.887,0.723,0.814,0.889,0.44,0.78,0.564,0.959,0.589,0.531,0.666,0.797,0.933,0.854,0.662,0.807,0.821,0.917,0.895,0.802,0.826,0.971,1.018,0.954,178.212
1,24,4,3800000,60736183,1,0.241,0.656,0.368,0.823,0.446,0.617,0.836,0.738,0.865,0.853,0.391,0.785,0.498,0.951,0.524,0.52,0.681,0.763,0.934,0.817,0.64,0.816,0.784,0.922,0.851,0.812,0.835,0.973,1.013,0.96,211.542
