rank,thr,socket,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
9,3,0,4.64754,4.4646,4.16053,4.97107,4.96389,4.16053,5.03078,1460.31,1420.48,1336.46,1502.59,1558.99,1336.46,1587.16
9,4,0,4.64754,4.4646,4.18992,4.97107,4.96389,4.18992,5.03078,1460.31,1420.48,1351.45,1502.59,1558.99,1351.45,1587.16
9,5,0,4.64753,4.4646,4.19651,4.97107,4.96389,4.19651,5.03078,1460.31,1420.48,1351.47,1502.59,1558.99,1351.47,1587.16
10,0,0,4.64798,4.42025,4.32392,4.97228,4.96036,4.86403,5.03062,1460.3,1411.62,1397.17,1502.79,1561.04,1546.6,1586.88
10,1,0,4.64719,4.41999,4.13408,4.9709,4.96011,4.13408,5.03062,1459.4,1411.62,1343.95,1503.95,1561.04,1343.95,1586.88
10,2,0,4.6472,4.42,4.10137,4.9709,4.96011,4.10137,5.03062,1459.4,1411.62,1334.43,1503.95,1561.04,1334.43,1586.88
10,3,0,4.64719,4.42,4.14842,4.9709,4.96011,4.14842,5.03062,1459.4,1411.62,1351.29,1503.95,1561.04,1351.29,1586.88
10,4,0,4.6472,4.42,4.16004,4.97091,4.96012,4.16004,5.03062,1459.4,1411.62,1352.52,1503.95,1561.04,1352.52,1586.88
10,5,0,4.6472,4.42,4.1397,4.9709,4.96011,4.1397,5.03062,1459.4,1411.62,1341.07,1503.95,1561.04,1341.07,1586.88
11,0,0,4.64798,4.42621,4.33689,4.97228,4.95172,4.86239,5.03089,1460.3,1414.11,1395.26,1502.79,1560.37,1541.52,1587.16
11,1,0,4.64717,4.42601,4.13611,4.97112,4.95151,4.13611,5.03089,1460.33,1413.83,1333.76,1502.26,1560.1,1333.76,1587.16
11,2,0,4.64717,4.426,4.13732,4.97112,4.95151,4.13732,5.03089,1460.33,1413.83,1332.65,1502.26,1560.1,1332.65,1587.16
11,3,0,4.64716,4.426,4.11715,4.97112,4.95151,4.11715,5.03089,1460.33,1413.83,1332.78,1502.26,1560.1,1332.78,1587.16
11,4,0,4.64717,4.42601,4.14033,4.97112,4.95151,4.14033,5.03089,1460.33,1413.83,1335.56,1502.26,1560.1,1335.56,1587.16
11,5,0,4.64717,4.426,4.09203,4.97112,4.95151,4.09203,5.03089,1460.33,1413.83,1324.83,1502.26,1560.1,1324.83,1587.16
12,0,1,4.64798,4.55067,4.41007,4.97228,4.896,4.79751,5.03116,1460.3,1428.32,1417.61,1502.79,1535.76,1527.06,1587.16
12,1,1,4.64751,4.55044,4.21566,4.97131,4.89578,4.21566,5.03116,1460.3,1428.04,1354.72,1503.09,1535.48,1354.72,1587.16
12,2,1,4.6475,4.55044,4.23274,4.97131,4.89578,4.23274,5.03116,1460.58,1428.32,1360.5,1503.37,1535.76,1360.5,1587.16
12,3,1,4.64751,4.55045,4.22765,4.97132,4.89579,4.22765,5.03116,1460.58,1428.32,1360.78,1503.37,1535.76,1360.78,1587.16
12,4,1,4.6475,4.55044,4.2622,4.97131,4.89578,4.2622,5.03116,1460.03,1427.77,1353.19,1502.82,1535.2,1353.19,1587.16
12,5,1,4.6475,4.55044,4.2348,4.9713,4.89577,4.2348,5.03116,1460.03,1427.77,1358.29,1502.82,1535.2,1358.29,1587.16
13,0,1,4.64798,4.51458,4.4132,4.97228,4.95337,4.85199,5.03171,1460.3,1432.65,1415.62,1502.79,1553.16,1536.13,1588.03
13,1,1,4.64753,4.51437,4.23461,4.97168,4.95316,4.23461,5.03171,1460.3,1432.65,1360.98,1501.74,1553.16,1360.98,1588.03
13,2,1,4.64753,4.51437,4.20449,4.97169,4.95316,4.20449,5.03171,1460.3,1432.65,1354.29,1501.74,1553.16,1354.29,1588.03
13,3,1,4.64753,4.51437,4.22916,4.97169,4.95316,4.22916,5.03171,1460.3,1432.65,1351.63,1501.74,1553.16,1351.63,1588.03
13,4,1,4.64752,4.51436,4.20607,4.97168,4.95315,4.20607,5.03171,1460.3,1432.65,1359.66,1501.74,1553.16,1359.66,1588.03
13,5,1,4.64752,4.51437,4.24029,4.97168,4.95315,4.24029,5.03171,1460.3,1432.65,1366.18,1501.74,1553.16,1366.18,1588.03
14,0,1,4.64798,4.44978,4.37489,4.97228,4.95884,4.88395,5.03174,1460.3,1417.06,1405.02,1502.79,1560.51,1548.47,1587.42
14,1,1,4.64741,4.44951,4.1684,4.97201,4.95857,4.1684,5.03174,1459.53,1416.8,1344.22,1502.53,1560.25,1344.22,1587.42
14,2,1,4.64742,4.44951,4.13897,4.97202,4.95857,4.13897,5.03174,1459.53,1416.8,1340.18,1502.53,1560.25,1340.18,1587.42
14,3,1,4.64742,4.44951,4.15233,4.97201,4.95857,4.15233,5.03174,1459.53,1416.8,1330.95,1502.53,1560.25,1330.95,1587.42
14,4,1,4.64742,4.44952,4.1657,4.97202,4.95858,4.1657,5.03174,1459.53,1416.8,1350.48,1502.53,1560.25,1350.48,1587.42
14,5,1,4.64741,4.44951,4.17137,4.97201,4.95857,4.17137,5.03174,1459.53,1416.8,1346.18,1502.53,1560.25,1346.18,1587.42
15,0,1,4.64798,4.58178,4.50088,4.97228,4.95258,4.87167,5.03179,1460.3,1455.38,1446.19,1502.79,1556.04,1546.85,1587.42
15,1,1,4.64741,4.58155,4.30539,4.97189,4.95235,4.30539,5.03179,1459.46,1455.12,1382.92,1501.43,1555.78,1382.92,1587.42
15,2,1,4.64742,4.58156,4.30874,4.9719,4.95235,4.30874,5.03179,1459.46,1455.12,1385.76,1501.43,1555.78,1385.76,1587.42
15,3,1,4.64741,4.58156,4.28484,4.9719,4.95235,4.28484,5.03179,1459.46,1455.12,1382.71,1501.43,1555.78,1382.71,1587.42
15,4,1,4.64741,4.58155,4.2734,4.97189,4.95235,4.2734,5.03179,1459.46,1455.12,1378.92,1501.43,1555.78,1378.92,1587.42
15,5,1,4.64742,4.58156,4.30049,4.9719,4.95235,4.30049,5.03179,1459.46,1455.12,1376.42,1501.43,1555.78,1376.42,1587.42
