nodes,taskspernode,threadspertask,s,cpufreq,slurm_job_id,cnt,tpe,tlb,tce,tse,tte,tmpe,tmlb,tmce,tmse,tmte,tope,tolb,toce,tose,tote,epe,elb,ece,ese,ete,empe,emlb,emce,emse,emte,eope,eolb,eoce,eose,eote,total_time
1,8,12,5,3500000,60734093,1.0,0.408,0.824,0.495,0.546,0.906,0.878,0.928,0.946,0.994,0.952,0.465,0.888,0.523,0.55,0.952,0.037,1.025,0.036,0.485,0.074,0.424,0.915,0.463,0.992,0.467,0.087,1.12,0.078,0.489,0.159,117.044
1,8,12,5,3800000,60734094,1.0,0.415,0.839,0.495,0.541,0.915,0.903,0.945,0.956,0.992,0.964,0.46,0.888,0.518,0.546,0.949,0.037,1.009,0.037,0.495,0.074,0.454,0.902,0.504,1.002,0.503,0.082,1.118,0.073,0.493,0.148,118.389
1,8,12,10,1000000,60734095,1.0,0.414,0.844,0.491,0.539,0.911,0.912,0.95,0.96,0.993,0.967,0.454,0.888,0.511,0.542,0.942,0.041,1.022,0.04,0.499,0.08,0.535,0.942,0.568,0.999,0.568,0.076,1.085,0.07,0.5,0.141,735.843
1,8,12,10,1500000,60734096,1.0,0.415,0.85,0.489,0.532,0.918,0.919,0.948,0.969,0.996,0.973,0.452,0.896,0.505,0.535,0.944,0.04,1.004,0.04,0.527,0.077,0.466,0.926,0.502,1.009,0.498,0.087,1.084,0.08,0.522,0.154,618.15
1,8,12,10,2000000,60734097,1.0,0.418,0.841,0.497,0.543,0.915,0.903,0.939,0.961,0.994,0.967,0.463,0.896,0.517,0.547,0.945,0.041,1.003,0.041,0.543,0.075,0.494,0.917,0.539,1.073,0.503,0.082,1.094,0.075,0.507,0.148,560.652
1,8,12,10,2500000,60734098,1.0,0.413,0.846,0.489,0.539,0.908,0.912,0.96,0.95,0.991,0.959,0.453,0.881,0.514,0.544,0.946,0.04,1.013,0.04,0.518,0.077,0.466,0.915,0.509,0.991,0.514,0.087,1.107,0.078,0.523,0.15,292.125
1,8,12,10,3000000,60734099,1.0,0.415,0.844,0.492,0.54,0.91,0.904,0.95,0.952,0.992,0.96,0.459,0.888,0.517,0.545,0.948,0.041,1.013,0.041,0.555,0.074,0.408,0.92,0.444,0.999,0.444,0.102,1.101,0.092,0.556,0.166,269.889
1,8,12,10,3500000,60734100,1.0,0.419,0.836,0.502,0.543,0.923,0.908,0.941,0.965,0.99,0.974,0.462,0.888,0.52,0.549,0.948,0.042,1.031,0.04,0.523,0.077,0.492,0.933,0.527,1.028,0.513,0.085,1.106,0.077,0.509,0.151,253.552
1,8,12,10,3800000,60734101,1.0,0.418,0.834,0.502,0.544,0.922,0.914,0.944,0.968,0.994,0.973,0.458,0.883,0.519,0.547,0.948,0.041,1.027,0.04,0.527,0.076,0.465,0.929,0.5,1.007,0.497,0.089,1.106,0.08,0.523,0.154,255.573
1,8,12,20,1000000,60734102,1.0,0.417,0.847,0.493,0.539,0.914,0.926,0.956,0.97,0.995,0.975,0.45,0.887,0.508,0.542,0.938,0.049,0.946,0.052,0.629,0.082,0.486,0.863,0.564,0.987,0.571,0.1,1.097,0.092,0.638,0.144,1568.802
1,8,12,20,1500000,60734103,1.0,0.423,0.856,0.494,0.541,0.912,0.922,0.954,0.967,0.995,0.971,0.458,0.897,0.511,0.544,0.939,0.049,0.925,0.053,0.663,0.08,0.535,0.843,0.634,1.065,0.595,0.092,1.098,0.083,0.622,0.134,1318.709
1,8,12,20,2000000,60734104,1.0,0.421,0.847,0.497,0.546,0.909,0.911,0.949,0.961,0.995,0.965,0.462,0.893,0.517,0.549,0.942,0.048,0.908,0.053,0.694,0.077,0.501,0.823,0.609,1.12,0.544,0.097,1.104,0.087,0.62,0.141,1225.072
1,8,12,20,2500000,60734105,1.0,0.422,0.854,0.494,0.538,0.918,0.937,0.965,0.971,0.997,0.974,0.45,0.885,0.509,0.54,0.943,0.047,0.934,0.051,0.641,0.079,0.525,0.841,0.624,1.026,0.608,0.09,1.111,0.081,0.625,0.13,604.491
1,8,12,20,3000000,60734106,1.0,0.419,0.854,0.491,0.539,0.91,0.917,0.96,0.955,0.992,0.963,0.457,0.89,0.514,0.544,0.945,0.048,0.922,0.052,0.671,0.078,0.453,0.829,0.546,1.002,0.545,0.107,1.111,0.096,0.67,0.144,565.082
1,8,12,20,3500000,60734107,1.0,0.424,0.842,0.503,0.548,0.918,0.922,0.952,0.968,0.996,0.973,0.46,0.884,0.52,0.55,0.944,0.05,0.9,0.055,0.723,0.076,0.442,0.798,0.553,1.047,0.529,0.112,1.128,0.1,0.691,0.144,559.402
1,8,12,20,3800000,60734108,1.0,0.423,0.848,0.499,0.54,0.925,0.928,0.952,0.974,0.995,0.98,0.456,0.89,0.513,0.543,0.944,0.049,0.943,0.052,0.685,0.076,0.499,0.844,0.591,1.032,0.573,0.099,1.118,0.088,0.664,0.133,547.042
1,27,3,1,1000000,60734109,1.0,0.117,0.744,0.158,0.548,0.288,0.287,0.957,0.3,0.986,0.304,0.409,0.777,0.526,0.557,0.946,0.044,0.913,0.048,0.58,0.083,0.092,0.633,0.146,1.031,0.142,0.478,1.442,0.331,0.562,0.589,150.228
1,27,3,1,1500000,60734110,1.0,0.174,0.735,0.236,0.57,0.415,0.425,0.948,0.448,0.995,0.451,0.409,0.776,0.527,0.572,0.921,0.066,0.579,0.114,0.973,0.118,0.148,0.439,0.337,1.064,0.317,0.447,1.317,0.34,0.914,0.371,121.102
1,27,3,1,2000000,60734111,1.0,0.204,0.719,0.284,0.579,0.491,0.482,0.971,0.496,0.913,0.543,0.424,0.74,0.573,0.634,0.904,0.082,1.016,0.081,1.334,0.061,0.224,0.686,0.326,2.619,0.125,0.367,1.48,0.248,0.509,0.486,104.767
1,27,3,1,2500000,60734112,1.0,0.195,0.739,0.264,0.567,0.466,0.47,0.948,0.496,0.972,0.511,0.415,0.779,0.532,0.583,0.912,0.075,0.595,0.127,0.953,0.133,0.18,0.452,0.398,1.048,0.379,0.419,1.317,0.318,0.909,0.35,98.803
1,27,3,1,3000000,60734113,1.0,0.151,0.716,0.211,0.601,0.351,0.342,0.937,0.365,0.97,0.376,0.441,0.765,0.577,0.619,0.932,0.063,0.64,0.098,1.012,0.097,0.086,0.48,0.18,1.14,0.158,0.728,1.334,0.545,0.888,0.614,89.788
1,27,3,1,3500000,60734114,1.0,0.194,0.742,0.261,0.55,0.476,0.459,0.974,0.471,0.904,0.521,0.423,0.762,0.555,0.608,0.912,0.082,0.925,0.089,1.156,0.077,0.223,0.628,0.355,2.505,0.142,0.368,1.472,0.25,0.462,0.541,83.544
1,27,3,1,3800000,60734115,1.0,0.2,0.741,0.269,0.504,0.535,0.478,0.949,0.504,0.859,0.586,0.418,0.781,0.535,0.586,0.912,0.076,0.587,0.129,0.717,0.18,0.159,0.458,0.346,0.914,0.379,0.478,1.281,0.373,0.785,0.476,86.837
1,27,3,5,1000000,60734116,1.0,0.276,0.716,0.385,0.565,0.682,0.722,0.931,0.775,0.995,0.779,0.382,0.769,0.497,0.568,0.875,0.102,0.889,0.115,0.618,0.186,0.339,0.636,0.532,1.006,0.529,0.301,1.398,0.215,0.614,0.351,314.856
1,27,3,5,1500000,60734117,1.0,0.271,0.716,0.378,0.592,0.639,0.666,0.941,0.709,0.975,0.727,0.406,0.761,0.534,0.607,0.879,0.1,0.888,0.113,0.704,0.16,0.318,0.634,0.502,1.255,0.399,0.315,1.401,0.225,0.561,0.401,266.437
1,27,3,5,2000000,60734118,1.0,0.314,0.707,0.444,0.592,0.75,0.792,0.921,0.86,0.989,0.869,0.396,0.768,0.516,0.599,0.863,0.115,0.618,0.186,0.968,0.192,0.378,0.515,0.735,1.083,0.679,0.303,1.201,0.253,0.893,0.283,220.364
1,27,3,5,2500000,60734119,1.0,0.31,0.699,0.444,0.673,0.66,0.72,0.939,0.766,0.999,0.767,0.431,0.745,0.579,0.673,0.86,0.118,0.967,0.122,6.897,0.018,0.38,0.68,0.559,10.576,0.053,0.311,1.422,0.219,0.652,0.336,187.834
1,27,3,5,3000000,60734120,1.0,0.288,0.7,0.412,0.623,0.661,0.669,0.925,0.724,0.958,0.755,0.43,0.756,0.569,0.65,0.875,0.106,0.678,0.156,11.242,0.014,0.221,0.493,0.449,14.211,0.032,0.478,1.377,0.347,0.791,0.439,190.75
1,27,3,5,3500000,60734121,1.0,0.332,0.724,0.459,0.64,0.717,0.806,0.962,0.838,0.999,0.839,0.412,0.753,0.548,0.641,0.855,0.124,0.932,0.133,6.627,0.02,0.343,0.648,0.529,10.577,0.05,0.361,1.439,0.251,0.627,0.401,171.721
1,27,3,5,3800000,60734122,1.0,0.339,0.69,0.491,0.674,0.729,0.779,0.913,0.854,0.998,0.856,0.435,0.756,0.575,0.675,0.852,0.126,0.972,0.13,40.489,0.003,0.391,0.671,0.582,67.196,0.009,0.323,1.448,0.223,0.603,0.37,175.38
1,27,3,10,1000000,60734123,1.0,0.306,0.709,0.432,0.597,0.725,0.807,0.959,0.842,1.0,0.842,0.38,0.739,0.514,0.597,0.861,0.115,0.866,0.133,6.846,0.019,0.273,0.626,0.435,9.135,0.048,0.423,1.382,0.306,0.749,0.409,539.589
1,27,3,10,1500000,60734124,1.0,0.32,0.696,0.46,0.641,0.717,0.804,0.959,0.839,1.0,0.839,0.398,0.726,0.548,0.641,0.855,0.121,0.913,0.133,38.537,0.003,0.296,0.656,0.452,53.46,0.008,0.409,1.393,0.294,0.721,0.407,429.408
1,27,3,10,2000000,60734125,1.0,0.34,0.696,0.489,0.667,0.734,0.817,0.946,0.864,1.0,0.864,0.416,0.736,0.566,0.667,0.849,0.129,0.983,0.131,33.841,0.004,0.424,0.699,0.606,58.368,0.01,0.304,1.406,0.216,0.58,0.372,391.944
1,27,3,10,2500000,60734126,1.0,0.35,0.704,0.497,0.67,0.742,0.83,0.948,0.876,1.0,0.876,0.421,0.742,0.568,0.67,0.847,0.132,0.924,0.142,12.086,0.012,0.353,0.655,0.538,16.902,0.032,0.373,1.411,0.265,0.715,0.37,328.542
1,27,3,10,3000000,60734127,1.0,0.353,0.719,0.491,0.661,0.743,0.852,0.971,0.877,0.999,0.877,0.415,0.74,0.56,0.661,0.847,0.133,0.948,0.14,13.035,0.011,0.4,0.666,0.6,20.66,0.029,0.333,1.424,0.234,0.631,0.371,311.863
